# Period        : 0.649472 days
# IsPeriodic    : True
# Normalization : <g_mag>=0
# Spectrum      : "Flat"; or filename
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.236  1.062 -0.052 -0.246 -0.298 -0.295 -0.295
 0.238  1.063 -0.050 -0.245 -0.298 -0.295 -0.295
 0.240  1.065 -0.049 -0.244 -0.297 -0.294 -0.294
 0.242  1.066 -0.047 -0.242 -0.297 -0.294 -0.294
 0.244  1.068 -0.045 -0.241 -0.296 -0.294 -0.294
 0.246  1.069 -0.044 -0.240 -0.296 -0.293 -0.293
 0.248  1.070 -0.042 -0.239 -0.295 -0.293 -0.293
 0.250  1.072 -0.040 -0.238 -0.295 -0.292 -0.292
 0.252  1.073 -0.039 -0.237 -0.294 -0.292 -0.292
 0.254  1.074 -0.037 -0.236 -0.294 -0.291 -0.291
 0.256  1.076 -0.035 -0.235 -0.293 -0.291 -0.291
 0.258  1.077 -0.034 -0.234 -0.293 -0.291 -0.291
 0.260  1.078 -0.032 -0.233 -0.292 -0.290 -0.290
 0.262  1.080 -0.030 -0.232 -0.292 -0.289 -0.289
 0.264  1.081 -0.029 -0.231 -0.291 -0.289 -0.289
 0.266  1.083 -0.027 -0.230 -0.291 -0.289 -0.289
 0.268  1.084 -0.025 -0.229 -0.290 -0.288 -0.288
 0.270  1.085 -0.024 -0.228 -0.290 -0.288 -0.288
 0.272  1.086 -0.022 -0.227 -0.289 -0.287 -0.287
 0.274  1.088 -0.021 -0.226 -0.289 -0.286 -0.286
 0.276  1.089 -0.019 -0.225 -0.288 -0.286 -0.286
 0.278  1.090 -0.017 -0.223 -0.287 -0.285 -0.285
 0.280  1.091 -0.015 -0.222 -0.287 -0.285 -0.285
 0.282  1.093 -0.014 -0.221 -0.286 -0.284 -0.284
 0.284  1.094 -0.012 -0.220 -0.286 -0.284 -0.284
 0.286  1.095 -0.010 -0.219 -0.285 -0.283 -0.283
 0.288  1.096 -0.009 -0.218 -0.284 -0.283 -0.283
 0.290  1.098 -0.007 -0.217 -0.284 -0.282 -0.282
 0.292  1.099 -0.006 -0.216 -0.283 -0.281 -0.281
 0.294  1.100 -0.004 -0.215 -0.282 -0.281 -0.281
 0.296  1.101 -0.003 -0.214 -0.282 -0.280 -0.280
 0.298  1.103 -0.001 -0.213 -0.281 -0.280 -0.280
 0.300  1.104  0.001 -0.212 -0.280 -0.279 -0.279
 0.302  1.105  0.002 -0.211 -0.279 -0.278 -0.278
 0.304  1.106  0.004 -0.210 -0.279 -0.278 -0.278
 0.306  1.107  0.005 -0.209 -0.278 -0.277 -0.277
 0.308  1.109  0.007 -0.208 -0.277 -0.277 -0.277
 0.310  1.110  0.008 -0.207 -0.276 -0.276 -0.276
 0.312  1.111  0.010 -0.206 -0.276 -0.275 -0.275
 0.314  1.112  0.011 -0.205 -0.275 -0.275 -0.275
 0.316  1.113  0.012 -0.204 -0.274 -0.274 -0.274
 0.318  1.115  0.014 -0.203 -0.273 -0.274 -0.274
 0.320  1.116  0.015 -0.202 -0.272 -0.273 -0.273
 0.322  1.117  0.016 -0.202 -0.271 -0.273 -0.273
 0.324  1.118  0.017 -0.201 -0.270 -0.272 -0.272
 0.326  1.119  0.019 -0.200 -0.269 -0.272 -0.272
 0.328  1.121  0.020 -0.199 -0.268 -0.271 -0.271
 0.330  1.122  0.022 -0.198 -0.268 -0.271 -0.271
 0.332  1.123  0.023 -0.197 -0.267 -0.270 -0.270
 0.334  1.124  0.024 -0.196 -0.266 -0.270 -0.270
 0.336  1.125  0.025 -0.195 -0.265 -0.269 -0.269
 0.338  1.126  0.026 -0.194 -0.264 -0.269 -0.269
 0.340  1.128  0.027 -0.194 -0.263 -0.268 -0.268
 0.342  1.129  0.029 -0.193 -0.262 -0.268 -0.268
 0.344  1.130  0.030 -0.192 -0.261 -0.267 -0.267
 0.346  1.131  0.031 -0.191 -0.260 -0.267 -0.267
 0.348  1.132  0.032 -0.190 -0.259 -0.266 -0.266
 0.350  1.134  0.033 -0.189 -0.258 -0.266 -0.266
 0.352  1.135  0.034 -0.189 -0.258 -0.265 -0.265
